device_id,device_name,device_type,temperature,humidity,pressure,light,timestamp
TEMP-001,Office Temperature Sensor,temperature,23.5,45.2,1013.2,450,2025-01-01 08:00:00
TEMP-001,Office Temperature Sensor,temperature,24.1,44.8,1013.1,520,2025-01-01 09:00:00
TEMP-001,Office Temperature Sensor,temperature,25.3,43.5,1012.9,680,2025-01-01 10:00:00
TEMP-001,Office Temperature Sensor,temperature,26.0,42.1,1012.8,750,2025-01-01 11:00:00
TEMP-001,Office Temperature Sensor,temperature,26.8,41.3,1012.7,800,2025-01-01 12:00:00
TEMP-001,Office Temperature Sensor,temperature,25.9,42.5,1012.9,720,2025-01-01 13:00:00
TEMP-001,Office Temperature Sensor,temperature,24.7,43.8,1013.0,580,2025-01-01 14:00:00
TEMP-001,Office Temperature Sensor,temperature,23.8,45.0,1013.2,400,2025-01-01 15:00:00
HUM-002,Warehouse Humidity Sensor,humidity,18.2,72.5,1014.1,120,2025-01-01 08:00:00
HUM-002,Warehouse Humidity Sensor,humidity,18.5,71.8,1014.0,130,2025-01-01 09:00:00
HUM-002,Warehouse Humidity Sensor,humidity,19.1,70.2,1013.8,180,2025-01-01 10:00:00
HUM-002,Warehouse Humidity Sensor,humidity,19.8,69.5,1013.6,220,2025-01-01 11:00:00
HUM-002,Warehouse Humidity Sensor,humidity,20.3,68.1,1013.5,250,2025-01-01 12:00:00
HUM-002,Warehouse Humidity Sensor,humidity,19.9,69.0,1013.7,200,2025-01-01 13:00:00
HUM-002,Warehouse Humidity Sensor,humidity,19.0,70.8,1013.9,160,2025-01-01 14:00:00
HUM-002,Warehouse Humidity Sensor,humidity,18.3,72.0,1014.0,110,2025-01-01 15:00:00
PRESS-003,Lab Pressure Sensor,pressure,22.0,50.0,1015.5,600,2025-01-01 08:00:00
PRESS-003,Lab Pressure Sensor,pressure,22.3,49.5,1015.3,650,2025-01-01 09:00:00
PRESS-003,Lab Pressure Sensor,pressure,22.8,48.8,1015.0,700,2025-01-01 10:00:00
PRESS-003,Lab Pressure Sensor,pressure,23.5,47.2,1014.8,780,2025-01-01 11:00:00
PRESS-003,Lab Pressure Sensor,pressure,24.0,46.5,1014.5,820,2025-01-01 12:00:00
PRESS-003,Lab Pressure Sensor,pressure,23.2,47.8,1014.9,760,2025-01-01 13:00:00
PRESS-003,Lab Pressure Sensor,pressure,22.5,49.0,1015.2,680,2025-01-01 14:00:00
PRESS-003,Lab Pressure Sensor,pressure,22.0,50.2,1015.5,590,2025-01-01 15:00:00
